,id,name,shortName
49,50,German-Style Leichtes Weizen / Weissbier,Leichtesweizen
50,51,South German-Style Bernsteinfarbenes Weizen / Weissbier,Bernsteinfarbenesweizen
51,52,South German-Style Dunkel Weizen / Dunkel Weissbier,Dunkelweizen
52,53,South German-Style Weizenbock / Weissbock,Weizenbock
53,54,Bamberg-Style Weiss (Smoke) Rauchbier (Dunkel or Helles),Rauchbier
54,55,German-Style Altbier,Altbier
55,56,Kellerbier (Cellar beer) or Zwickelbier - Ale,Kellerbier
56,57,Belgian-Style Flanders Oud Bruin or Oud Red Ales,Flanders Red
57,58,Belgian-Style Dubbel,Belgian Dubbel
58,59,Belgian-Style Tripel,Belgian Tripel
59,60,Belgian-Style Quadrupel,Belgian Quad
60,61,Belgian-Style Blonde Ale,Belgian Blonde
61,62,Belgian-Style Pale Ale,Belgian Pale
62,63,Belgian-Style Pale Strong Ale,Belgian Pale Strong
63,64,Belgian-Style Dark Strong Ale,Belgian Dark Strong
64,65,Belgian-Style White (or Wit) / Belgian-Style Wheat,Witbier
65,66,Belgian-Style Lambic,Lambic
66,67,Belgian-Style Gueuze Lambic,Gueuze
67,68,Belgian-Style Fruit Lambic,Fruit Lambic
68,69,Belgian-Style Table Beer,Belgian Table Beer
69,70,Other Belgian-Style Ales,Belgian Ale
70,71,French-Style Bière de Garde,Bière de Garde
71,72,French & Belgian-Style Saison,Saison
72,73,International-Style Pale Ale,International Pale
73,74,Australian-Style Pale Ale,Austrailian Pale
74,75,German-Style Pilsener,German Pilsener
75,76,Bohemian-Style Pilsener,Bohemian Pilsener
76,77,German-Style Leichtbier,Leichtbier
77,78,Münchner (Munich)-Style Helles,Helles
78,79,Dortmunder / European-Style Export,Dortmunder
79,80,Vienna-Style Lager,Vienna Lager
80,81,German-Style Märzen,Märzen
81,82,German-Style Oktoberfest / Wiesen (Meadow),Oktoberfest
82,83,European-Style Dark / Münchner Dunkel,Euro Dark
83,84,German-Style Schwarzbier,Schwarzbier
84,85,Bamberg-Style Märzen Rauchbier,Märzen Rauchbier
85,86,Bamberg-Style Helles Rauchbier,Helles Rauchbier
86,87,Bamberg-Style Bock Rauchbier,Bock Rauchbier
87,88,Traditional German-Style Bock,Bock
88,89,German-Style Heller Bock/Maibock,Maibock
89,90,German-Style Doppelbock,Doppelbock
90,91,German-Style Eisbock,Eisbock
91,92,Kellerbier (Cellar beer) or Zwickelbier - Lager,Kellerbier
92,93,American-Style Lager,American Lager
93,94,American-Style Light (Low Calorie) Lager,American Light Lager
94,95,American-Style Low-Carbohydrate Light Lager,American Low-Carb Lager
95,96,American-Style Amber (Low Calorie) Lager,American Amber Lager
96,97,American-Style Premium Lager,American Premium Lager
97,98,American-Style Pilsener,American Pilsener
98,99,American-Style Ice Lager,American Ice Lager
99,100,American-Style Malt Liquor,Malt Liquor
100,101,American-Style Amber Lager,American Amber Lager
101,102,American-Style Märzen / Oktoberfest,American Oktoberfest
102,103,American-Style Dark Lager,American Dark Lager
103,104,Baltic-Style Porter,Baltic Porter
104,105,"Australasian, Latin American or Tropical-Style Light Lager",Tropical Light Lager
105,106,International-Style Pilsener,International Pilsener
106,107,Dry Lager,Dry Lager
107,108,Session Beer,Session
108,109,American-Style Cream Ale or Lager,Cream Ale
109,110,California Common Beer,California Common
110,111,Ginjo Beer or Sake-Yeast Beer,Gingo/Sake
